transaction_id,amount,payment_method,failure_reason,recovery_probability,priority,recommended_action,action_status,actual_recovered
TX03039,39774.14,Wallet,Bank Declined,9.56,Low,Defer Recovery,Deferred,0
TX09010,36488.85,UPI,Authentication Failed,99.93,High,Retry Payment,Retry Initiated,1
TX00334,6369.61,NetBanking,Technical Error,99.09,High,Retry Payment,Retry Initiated,1
TX03041,35629.2,UPI,Authentication Failed,2.47,Low,Defer Recovery,Deferred,0
TX06497,10405.01,Wallet,Authentication Failed,30.13,Low,Defer Recovery,Deferred,1
TX04160,16874.65,Wallet,Insufficient Funds,9.7,Low,Defer Recovery,Deferred,0
TX04198,18455.57,NetBanking,Insufficient Funds,99.72,High,Generate Payment Link,Payment Link Created,1
TX04257,2598.22,Card,Insufficient Funds,21.67,Low,Defer Recovery,Deferred,1
TX07103,5168.57,UPI,Insufficient Funds,19.21,Low,Defer Recovery,Deferred,1
TX07195,30762.6,Wallet,Insufficient Funds,14.24,Low,Defer Recovery,Deferred,1
TX08106,49097.7,UPI,Timeout,4.18,Low,Defer Recovery,Deferred,0
TX06394,16827.64,Card,Bank Declined,99.87,High,Retry Payment,Retry Initiated,1
TX08629,4837.11,Wallet,Authentication Failed,99.26,High,Generate Payment Link,Payment Link Created,1
TX07998,21878.78,UPI,Insufficient Funds,98.2,High,Generate Payment Link,Payment Link Created,0
TX02313,33220.34,UPI,Insufficient Funds,99.65,High,Generate Payment Link,Payment Link Created,1
TX01693,16751.84,Card,Timeout,64.86,Medium,Send Notification,Notification Sent,1
TX07490,22613.08,UPI,Technical Error,3.55,Low,Defer Recovery,Deferred,1
TX02993,37141.28,UPI,Bank Declined,98.46,High,Generate Payment Link,Payment Link Created,1
TX06129,9439.94,Card,Bank Declined,99.89,High,Retry Payment,Retry Initiated,1
TX03780,7088.24,Wallet,Authentication Failed,4.99,Low,Defer Recovery,Deferred,1
TX03989,6857.4,Wallet,Technical Error,48.36,Medium,Send Notification,Notification Sent,1
TX09154,15291.73,UPI,Bank Declined,47.52,Medium,Send Notification,Notification Sent,1
TX04033,20518.91,Card,Timeout,99.41,High,Retry Payment,Retry Initiated,1
TX08725,6493.94,Wallet,Authentication Failed,99.67,High,Retry Payment,Retry Initiated,1
TX02309,23511.96,Card,Bank Declined,1.77,Low,Defer Recovery,Deferred,0
TX03721,25203.11,UPI,Authentication Failed,7.41,Low,Defer Recovery,Deferred,1
TX03502,4975.59,Card,Technical Error,4.16,Low,Defer Recovery,Deferred,1
TX08770,45957.07,NetBanking,Authentication Failed,99.72,High,Retry Payment,Retry Initiated,1
TX05064,36406.91,NetBanking,Bank Declined,99.8,High,Retry Payment,Retry Initiated,1
TX08259,22949.68,Card,Bank Declined,99.86,High,Retry Payment,Retry Initiated,1
TX05523,37565.49,UPI,Timeout,99.48,High,Retry Payment,Retry Initiated,0
TX00758,41513.99,UPI,Insufficient Funds,99.22,High,Retry Payment,Retry Initiated,1
TX09464,11061.77,Card,Technical Error,95.86,High,Generate Payment Link,Payment Link Created,0
TX00623,2046.42,Wallet,Authentication Failed,30.86,Low,Defer Recovery,Deferred,1
TX03353,14817.06,UPI,Technical Error,46.65,Medium,Send Notification,Notification Sent,1
TX02589,2553.13,Wallet,Timeout,87.64,High,Generate Payment Link,Payment Link Created,0
TX02222,13498.15,Card,Timeout,97.59,High,Retry Payment,Retry Initiated,0
TX01442,2741.5,UPI,Authentication Failed,26.21,Low,Defer Recovery,Deferred,1
TX07799,42492.23,Card,Timeout,4.05,Low,Defer Recovery,Deferred,0
TX02401,14333.69,UPI,Bank Declined,99.42,High,Generate Payment Link,Payment Link Created,1
TX07888,18497.0,Wallet,Bank Declined,6.96,Low,Defer Recovery,Deferred,0
TX08861,30024.35,NetBanking,Authentication Failed,32.54,Low,Defer Recovery,Deferred,0
TX04458,2661.59,UPI,Timeout,11.85,Low,Defer Recovery,Deferred,1
TX06769,35940.08,NetBanking,Technical Error,7.9,Low,Defer Recovery,Deferred,0
TX02857,8165.72,Card,Timeout,31.91,Low,Defer Recovery,Deferred,1
TX05878,24065.32,Wallet,Bank Declined,99.91,High,Retry Payment,Retry Initiated,1
TX00358,35108.11,NetBanking,Timeout,99.58,High,Retry Payment,Retry Initiated,1
TX00957,8526.08,Card,Timeout,10.59,Low,Defer Recovery,Deferred,0
TX07012,49454.82,Wallet,Timeout,12.97,Low,Defer Recovery,Deferred,1
TX05979,23580.18,Wallet,Technical Error,99.87,High,Retry Payment,Retry Initiated,1
TX00270,25603.58,NetBanking,Bank Declined,3.84,Low,Defer Recovery,Deferred,0
TX07377,16862.1,Wallet,Insufficient Funds,99.79,High,Retry Payment,Retry Initiated,1
TX02182,24424.64,Card,Timeout,99.94,High,Retry Payment,Retry Initiated,1
TX09112,537.86,Wallet,Authentication Failed,74.25,Medium,Send Notification,Notification Sent,1
TX01752,9064.6,UPI,Bank Declined,24.17,Low,Defer Recovery,Deferred,0
TX03642,16445.56,Card,Insufficient Funds,10.95,Low,Defer Recovery,Deferred,0
TX02642,44097.69,Card,Authentication Failed,8.82,Low,Defer Recovery,Deferred,0
TX09840,35810.4,Wallet,Insufficient Funds,17.52,Low,Defer Recovery,Deferred,1
TX04304,25921.3,Card,Bank Declined,3.89,Low,Defer Recovery,Deferred,0
TX00291,48334.45,Card,Technical Error,98.69,High,Retry Payment,Retry Initiated,1
TX05865,34661.41,Wallet,Insufficient Funds,98.96,High,Generate Payment Link,Payment Link Created,1
TX05407,43690.62,Card,Timeout,99.48,High,Generate Payment Link,Payment Link Created,1
TX04288,15115.86,NetBanking,Technical Error,1.75,Low,Defer Recovery,Deferred,0
TX06580,16809.36,Wallet,Bank Declined,23.67,Low,Defer Recovery,Deferred,1
TX07727,22805.05,Card,Timeout,98.88,High,Generate Payment Link,Payment Link Created,1
TX00078,46477.23,UPI,Timeout,99.8,High,Retry Payment,Retry Initiated,1
TX08066,2391.91,Wallet,Insufficient Funds,17.57,Low,Defer Recovery,Deferred,1
TX04518,33273.91,Card,Authentication Failed,25.99,Low,Defer Recovery,Deferred,0
TX04046,31932.73,UPI,Bank Declined,68.97,Medium,Send Notification,Notification Sent,1
TX02125,40989.45,Card,Timeout,8.12,Low,Defer Recovery,Deferred,1
TX08319,19627.51,Wallet,Bank Declined,50.77,Medium,Send Notification,Notification Sent,0
TX04725,42963.42,Wallet,Timeout,25.67,Low,Defer Recovery,Deferred,1
TX08831,3997.67,Wallet,Technical Error,12.22,Low,Defer Recovery,Deferred,1
TX07489,41051.7,Wallet,Bank Declined,99.67,High,Retry Payment,Retry Initiated,1
TX04113,19259.05,NetBanking,Timeout,96.64,High,Generate Payment Link,Payment Link Created,0
TX03095,8783.12,Card,Technical Error,99.88,High,Retry Payment,Retry Initiated,1
TX01999,25904.18,UPI,Authentication Failed,96.06,High,Generate Payment Link,Payment Link Created,1
TX02713,28078.65,Card,Technical Error,35.02,Low,Defer Recovery,Deferred,1
TX03980,43618.09,Card,Technical Error,99.48,High,Retry Payment,Retry Initiated,1
TX05868,17908.74,NetBanking,Insufficient Funds,1.91,Low,Defer Recovery,Deferred,0
TX03546,20663.47,NetBanking,Authentication Failed,96.51,High,Generate Payment Link,Payment Link Created,1
TX09967,19247.74,UPI,Technical Error,96.1,High,Generate Payment Link,Payment Link Created,1
TX04168,4497.52,Card,Insufficient Funds,98.88,High,Generate Payment Link,Payment Link Created,1
TX08615,17077.24,UPI,Authentication Failed,36.17,Low,Defer Recovery,Deferred,0
TX09735,41793.41,Wallet,Authentication Failed,99.87,High,Generate Payment Link,Payment Link Created,1
TX07881,34676.17,NetBanking,Technical Error,9.56,Low,Defer Recovery,Deferred,0
TX00010,30557.11,Card,Authentication Failed,7.24,Low,Defer Recovery,Deferred,1
TX04006,23445.67,NetBanking,Bank Declined,99.74,High,Retry Payment,Retry Initiated,1
TX05476,31329.75,UPI,Insufficient Funds,36.82,Low,Defer Recovery,Deferred,1
TX01702,46631.95,UPI,Bank Declined,4.5,Low,Defer Recovery,Deferred,0
TX06529,13551.13,Wallet,Authentication Failed,16.74,Low,Defer Recovery,Deferred,0
TX03890,17094.74,Wallet,Insufficient Funds,99.02,High,Retry Payment,Retry Initiated,1
TX05876,30770.68,Wallet,Authentication Failed,99.69,High,Generate Payment Link,Payment Link Created,1
TX07463,19453.47,Wallet,Authentication Failed,99.71,High,Retry Payment,Retry Initiated,1
TX06016,14478.66,NetBanking,Insufficient Funds,3.9,Low,Defer Recovery,Deferred,1
TX05402,27255.58,UPI,Insufficient Funds,23.28,Low,Defer Recovery,Deferred,1
TX06477,16874.37,Card,Bank Declined,0.54,Low,Defer Recovery,Deferred,0
TX05683,38205.99,Wallet,Timeout,43.65,Medium,Send Notification,Notification Sent,1
TX02933,43522.81,Card,Technical Error,99.93,High,Retry Payment,Retry Initiated,1
TX09934,24833.5,NetBanking,Authentication Failed,35.97,Low,Defer Recovery,Deferred,0
TX05680,17109.74,UPI,Timeout,15.1,Low,Defer Recovery,Deferred,1
TX05435,21825.93,Card,Timeout,99.95,High,Retry Payment,Retry Initiated,1
TX04966,27891.91,Wallet,Bank Declined,11.61,Low,Defer Recovery,Deferred,0
TX04750,350.77,Card,Bank Declined,95.24,High,Generate Payment Link,Payment Link Created,1
TX06180,658.85,UPI,Technical Error,22.66,Low,Defer Recovery,Deferred,1
TX09413,41335.32,Wallet,Insufficient Funds,25.07,Low,Defer Recovery,Deferred,1
TX04472,20387.73,Card,Bank Declined,7.66,Low,Defer Recovery,Deferred,0
TX05376,549.38,Card,Timeout,17.8,Low,Defer Recovery,Deferred,1
TX02762,19413.8,UPI,Timeout,2.78,Low,Defer Recovery,Deferred,0
TX08873,6053.05,UPI,Insufficient Funds,99.16,High,Generate Payment Link,Payment Link Created,1
TX09460,16830.89,NetBanking,Technical Error,4.25,Low,Defer Recovery,Deferred,0
TX00307,48747.72,NetBanking,Bank Declined,99.92,High,Retry Payment,Retry Initiated,1
TX05907,45352.95,UPI,Bank Declined,11.01,Low,Defer Recovery,Deferred,1
TX06138,45096.91,NetBanking,Insufficient Funds,99.78,High,Generate Payment Link,Payment Link Created,1
TX00583,49206.06,Card,Authentication Failed,98.8,High,Retry Payment,Retry Initiated,0
TX00295,34419.68,Card,Authentication Failed,99.28,High,Generate Payment Link,Payment Link Created,1
TX09746,28816.22,UPI,Authentication Failed,7.64,Low,Defer Recovery,Deferred,0
TX05584,18598.46,Card,Timeout,44.06,Medium,Send Notification,Notification Sent,1
TX03845,13303.4,NetBanking,Technical Error,99.92,High,Retry Payment,Retry Initiated,1
TX04718,49776.27,NetBanking,Technical Error,99.5,High,Retry Payment,Retry Initiated,1
TX01806,2518.37,UPI,Authentication Failed,4.23,Low,Defer Recovery,Deferred,0
TX06047,41756.44,Card,Authentication Failed,18.47,Low,Defer Recovery,Deferred,0
TX09024,28434.52,Card,Authentication Failed,8.98,Low,Defer Recovery,Deferred,0
TX03045,48142.96,NetBanking,Bank Declined,1.75,Low,Defer Recovery,Deferred,0
TX09364,10721.25,NetBanking,Technical Error,98.78,High,Generate Payment Link,Payment Link Created,1
TX04265,692.38,NetBanking,Authentication Failed,12.07,Low,Defer Recovery,Deferred,0
TX04002,49300.98,Card,Insufficient Funds,99.85,High,Retry Payment,Retry Initiated,1
TX07566,37414.05,Card,Timeout,8.93,Low,Defer Recovery,Deferred,1
TX08456,1586.06,NetBanking,Authentication Failed,21.01,Low,Defer Recovery,Deferred,0
TX07991,19422.17,UPI,Bank Declined,13.99,Low,Defer Recovery,Deferred,1
TX01028,43809.06,UPI,Timeout,11.58,Low,Defer Recovery,Deferred,0
TX07925,21441.88,UPI,Timeout,4.93,Low,Defer Recovery,Deferred,0
TX02409,17806.8,Wallet,Authentication Failed,99.0,High,Generate Payment Link,Payment Link Created,1
TX04219,19386.04,NetBanking,Bank Declined,7.52,Low,Defer Recovery,Deferred,0
TX08026,14163.1,Card,Bank Declined,99.77,High,Retry Payment,Retry Initiated,1
TX03446,44881.21,UPI,Authentication Failed,2.91,Low,Defer Recovery,Deferred,0
TX04373,5076.34,NetBanking,Timeout,16.3,Low,Defer Recovery,Deferred,1
TX00213,22034.19,NetBanking,Authentication Failed,98.59,High,Generate Payment Link,Payment Link Created,1
TX02191,41666.41,UPI,Authentication Failed,99.71,High,Generate Payment Link,Payment Link Created,1
TX02619,4469.97,UPI,Insufficient Funds,37.31,Low,Defer Recovery,Deferred,0
TX08046,29695.99,UPI,Bank Declined,13.96,Low,Defer Recovery,Deferred,0
TX05309,39069.15,UPI,Insufficient Funds,25.03,Low,Defer Recovery,Deferred,1
TX07044,7783.32,UPI,Authentication Failed,99.7,High,Generate Payment Link,Payment Link Created,1
TX01011,25535.33,Wallet,Authentication Failed,1.76,Low,Defer Recovery,Deferred,1
TX01259,10546.49,UPI,Insufficient Funds,1.28,Low,Defer Recovery,Deferred,0
TX00197,46352.69,UPI,Timeout,99.94,High,Retry Payment,Retry Initiated,1
TX08966,40051.12,NetBanking,Timeout,59.02,Medium,Send Notification,Notification Sent,1
TX05294,7783.31,Wallet,Authentication Failed,98.48,High,Retry Payment,Retry Initiated,1
TX01655,5730.74,Card,Insufficient Funds,14.28,Low,Defer Recovery,Deferred,0
TX03893,24956.67,UPI,Authentication Failed,8.54,Low,Defer Recovery,Deferred,1
TX07592,39883.23,UPI,Insufficient Funds,98.76,High,Retry Payment,Retry Initiated,1
TX01359,35726.5,NetBanking,Insufficient Funds,1.8,Low,Defer Recovery,Deferred,0
TX07421,33122.08,UPI,Timeout,7.79,Low,Defer Recovery,Deferred,0
TX03962,38187.93,UPI,Bank Declined,99.75,High,Retry Payment,Retry Initiated,1
TX03544,44033.05,Card,Timeout,96.72,High,Generate Payment Link,Payment Link Created,1
TX04460,16928.16,UPI,Authentication Failed,24.29,Low,Defer Recovery,Deferred,1
TX02936,8866.05,UPI,Insufficient Funds,0.93,Low,Defer Recovery,Deferred,0
TX02849,29955.47,Card,Insufficient Funds,3.86,Low,Defer Recovery,Deferred,0
TX01261,37091.3,UPI,Technical Error,7.58,Low,Defer Recovery,Deferred,0
TX02270,16338.37,NetBanking,Bank Declined,99.66,High,Retry Payment,Retry Initiated,1
TX06909,22030.68,UPI,Authentication Failed,99.87,High,Retry Payment,Retry Initiated,1
TX00794,8311.85,NetBanking,Bank Declined,26.35,Low,Defer Recovery,Deferred,1
TX06374,24178.67,NetBanking,Technical Error,22.36,Low,Defer Recovery,Deferred,0
TX08243,43644.57,Wallet,Insufficient Funds,3.64,Low,Defer Recovery,Deferred,0
TX05034,19629.77,UPI,Technical Error,6.36,Low,Defer Recovery,Deferred,1
TX06587,5420.3,Wallet,Bank Declined,99.34,High,Generate Payment Link,Payment Link Created,1
TX03031,15255.82,UPI,Timeout,99.58,High,Retry Payment,Retry Initiated,1
TX01777,46507.27,Wallet,Authentication Failed,29.88,Low,Defer Recovery,Deferred,1
TX06343,45263.9,NetBanking,Bank Declined,98.6,High,Generate Payment Link,Payment Link Created,1
TX04069,35134.65,Card,Bank Declined,98.79,High,Generate Payment Link,Payment Link Created,1
TX05732,44465.71,NetBanking,Insufficient Funds,14.07,Low,Defer Recovery,Deferred,0
TX03800,24196.43,NetBanking,Authentication Failed,12.16,Low,Defer Recovery,Deferred,1
TX05486,10498.35,Card,Bank Declined,18.33,Low,Defer Recovery,Deferred,0
TX08184,4732.97,NetBanking,Technical Error,11.45,Low,Defer Recovery,Deferred,0
TX01429,24791.81,UPI,Timeout,2.74,Low,Defer Recovery,Deferred,0
TX02509,25720.38,UPI,Insufficient Funds,99.0,High,Generate Payment Link,Payment Link Created,1
TX07581,7624.56,NetBanking,Technical Error,12.0,Low,Defer Recovery,Deferred,1
TX07306,21777.56,UPI,Insufficient Funds,19.75,Low,Defer Recovery,Deferred,1
TX08732,22866.38,UPI,Timeout,2.08,Low,Defer Recovery,Deferred,1
TX03487,43075.49,Card,Insufficient Funds,97.85,High,Generate Payment Link,Payment Link Created,0
TX06794,650.3,Card,Insufficient Funds,98.69,High,Retry Payment,Retry Initiated,1
TX04594,27790.0,NetBanking,Authentication Failed,24.85,Low,Defer Recovery,Deferred,1
TX07817,26732.66,Card,Technical Error,5.57,Low,Defer Recovery,Deferred,1
TX09448,41400.79,NetBanking,Timeout,0.92,Low,Defer Recovery,Deferred,0
TX04826,2789.52,NetBanking,Insufficient Funds,19.79,Low,Defer Recovery,Deferred,0
TX04276,49931.0,Card,Timeout,10.15,Low,Defer Recovery,Deferred,1
TX00345,40026.87,NetBanking,Bank Declined,99.61,High,Retry Payment,Retry Initiated,0
TX09805,36959.24,Card,Bank Declined,99.27,High,Generate Payment Link,Payment Link Created,1
TX06227,19214.98,UPI,Insufficient Funds,15.19,Low,Defer Recovery,Deferred,0
TX02086,6862.29,Card,Bank Declined,12.88,Low,Defer Recovery,Deferred,1
TX09534,27359.33,NetBanking,Technical Error,12.68,Low,Defer Recovery,Deferred,0
TX03846,26023.14,UPI,Bank Declined,97.98,High,Generate Payment Link,Payment Link Created,1
TX07853,31254.34,NetBanking,Authentication Failed,89.02,High,Generate Payment Link,Payment Link Created,0
TX05576,3510.58,Card,Bank Declined,44.55,Medium,Send Notification,Notification Sent,1
TX01633,49642.32,Card,Authentication Failed,17.76,Low,Defer Recovery,Deferred,1
TX09624,17927.82,Wallet,Timeout,18.25,Low,Defer Recovery,Deferred,1
TX00407,32355.73,UPI,Insufficient Funds,8.07,Low,Defer Recovery,Deferred,0
TX08221,42833.07,NetBanking,Insufficient Funds,13.99,Low,Defer Recovery,Deferred,1
TX07105,3856.08,NetBanking,Insufficient Funds,99.09,High,Retry Payment,Retry Initiated,1
TX08930,16958.91,Wallet,Technical Error,98.39,High,Generate Payment Link,Payment Link Created,1
TX08902,1063.29,Card,Authentication Failed,36.63,Low,Defer Recovery,Deferred,1
TX02454,1981.1,Wallet,Authentication Failed,16.89,Low,Defer Recovery,Deferred,1
TX04762,18675.04,UPI,Timeout,18.59,Low,Defer Recovery,Deferred,0
TX05261,9002.07,NetBanking,Authentication Failed,98.99,High,Generate Payment Link,Payment Link Created,1
TX00128,45505.51,Wallet,Timeout,99.61,High,Retry Payment,Retry Initiated,1
TX04070,36072.57,NetBanking,Bank Declined,99.58,High,Retry Payment,Retry Initiated,1
TX05386,1414.73,Card,Technical Error,99.79,High,Generate Payment Link,Payment Link Created,1
TX09274,15273.11,Card,Authentication Failed,8.63,Low,Defer Recovery,Deferred,0
TX00354,18047.81,UPI,Authentication Failed,10.85,Low,Defer Recovery,Deferred,1
TX00304,16104.61,NetBanking,Technical Error,94.94,High,Generate Payment Link,Payment Link Created,0
TX05213,24618.32,Card,Insufficient Funds,99.48,High,Generate Payment Link,Payment Link Created,1
TX01886,9419.95,Card,Technical Error,63.72,Medium,Send Notification,Notification Sent,1
TX01012,15073.35,Card,Timeout,0.59,Low,Defer Recovery,Deferred,0
TX03742,3318.08,Card,Authentication Failed,31.43,Low,Defer Recovery,Deferred,1
TX04398,34940.95,UPI,Insufficient Funds,12.28,Low,Defer Recovery,Deferred,0
TX08382,4813.41,Wallet,Technical Error,99.42,High,Retry Payment,Retry Initiated,1
TX04360,40777.49,UPI,Timeout,99.73,High,Generate Payment Link,Payment Link Created,1
TX06074,32040.51,Card,Authentication Failed,0.59,Low,Defer Recovery,Deferred,0
TX03548,24949.02,Card,Insufficient Funds,9.2,Low,Defer Recovery,Deferred,0
TX05751,2030.38,Wallet,Timeout,99.86,High,Retry Payment,Retry Initiated,1
TX06220,28334.32,UPI,Authentication Failed,54.78,Medium,Send Notification,Notification Sent,1
TX07704,25682.93,Wallet,Timeout,18.16,Low,Defer Recovery,Deferred,0
TX02505,43065.57,Card,Timeout,99.79,High,Retry Payment,Retry Initiated,1
TX01302,45779.27,Wallet,Insufficient Funds,99.84,High,Retry Payment,Retry Initiated,1
TX09726,18019.59,Wallet,Technical Error,7.72,Low,Defer Recovery,Deferred,0
TX02271,4827.47,Card,Technical Error,21.27,Low,Defer Recovery,Deferred,0
TX06708,39516.61,UPI,Timeout,34.06,Low,Defer Recovery,Deferred,0
TX03774,5073.23,UPI,Insufficient Funds,99.91,High,Retry Payment,Retry Initiated,1
TX09927,8014.04,NetBanking,Bank Declined,97.04,High,Generate Payment Link,Payment Link Created,0
TX05652,17742.09,Card,Authentication Failed,99.74,High,Retry Payment,Retry Initiated,1
TX07033,6557.21,NetBanking,Authentication Failed,2.57,Low,Defer Recovery,Deferred,0
TX02330,35426.6,NetBanking,Timeout,98.26,High,Retry Payment,Retry Initiated,1
TX05158,4522.79,Card,Bank Declined,96.14,High,Generate Payment Link,Payment Link Created,1
TX07964,47229.95,NetBanking,Technical Error,99.31,High,Generate Payment Link,Payment Link Created,1
TX07023,5218.97,Wallet,Timeout,99.87,High,Retry Payment,Retry Initiated,1
TX08752,12930.02,Card,Authentication Failed,11.38,Low,Defer Recovery,Deferred,1
TX06017,16266.41,Card,Bank Declined,18.5,Low,Defer Recovery,Deferred,1
TX09715,22655.21,NetBanking,Technical Error,6.77,Low,Defer Recovery,Deferred,0
TX00396,46394.51,Card,Bank Declined,20.1,Low,Defer Recovery,Deferred,1
TX08174,11796.85,Card,Insufficient Funds,99.74,High,Generate Payment Link,Payment Link Created,1
TX05128,15976.94,NetBanking,Insufficient Funds,35.14,Low,Defer Recovery,Deferred,0
TX04546,12824.68,UPI,Bank Declined,98.66,High,Retry Payment,Retry Initiated,0
TX07569,26111.41,Wallet,Timeout,99.75,High,Retry Payment,Retry Initiated,1
TX02650,31272.56,NetBanking,Bank Declined,34.94,Low,Defer Recovery,Deferred,1
TX08866,42151.68,NetBanking,Authentication Failed,99.46,High,Generate Payment Link,Payment Link Created,1
TX01834,1104.07,Wallet,Technical Error,22.83,Low,Defer Recovery,Deferred,0
TX00314,35827.64,NetBanking,Technical Error,99.93,High,Retry Payment,Retry Initiated,1
TX07745,16778.89,UPI,Insufficient Funds,99.85,High,Retry Payment,Retry Initiated,1
TX06028,38597.1,Card,Timeout,5.4,Low,Defer Recovery,Deferred,1
TX02579,46806.11,NetBanking,Insufficient Funds,25.14,Low,Defer Recovery,Deferred,0
TX06981,8942.75,UPI,Timeout,44.74,Medium,Send Notification,Notification Sent,1
TX04084,28571.01,Wallet,Authentication Failed,8.27,Low,Defer Recovery,Deferred,0
TX05084,11786.3,Wallet,Timeout,9.61,Low,Defer Recovery,Deferred,1
TX04132,22568.23,Card,Bank Declined,11.77,Low,Defer Recovery,Deferred,1
TX09803,36829.1,NetBanking,Bank Declined,5.53,Low,Defer Recovery,Deferred,0
TX09203,43909.28,NetBanking,Authentication Failed,7.1,Low,Defer Recovery,Deferred,1
TX09189,23842.26,Card,Bank Declined,3.45,Low,Defer Recovery,Deferred,0
TX04399,31226.23,Card,Authentication Failed,19.99,Low,Defer Recovery,Deferred,1
TX01919,22341.92,NetBanking,Authentication Failed,23.28,Low,Defer Recovery,Deferred,1
TX05582,23946.74,UPI,Technical Error,9.2,Low,Defer Recovery,Deferred,0
TX01866,26876.71,NetBanking,Technical Error,99.92,High,Retry Payment,Retry Initiated,1
TX01053,2890.72,UPI,Technical Error,26.66,Low,Defer Recovery,Deferred,1
TX02924,48654.96,NetBanking,Timeout,73.09,Medium,Send Notification,Notification Sent,1
TX02398,5731.62,Card,Bank Declined,27.68,Low,Defer Recovery,Deferred,1
TX09966,23547.51,UPI,Insufficient Funds,99.85,High,Retry Payment,Retry Initiated,1
TX00937,26830.88,Card,Insufficient Funds,98.13,High,Generate Payment Link,Payment Link Created,1
TX06224,20235.79,UPI,Timeout,53.38,Medium,Send Notification,Notification Sent,1
TX05234,24431.16,Card,Bank Declined,9.36,Low,Defer Recovery,Deferred,0
TX07514,36935.78,Card,Bank Declined,13.24,Low,Defer Recovery,Deferred,0
TX05774,4086.7,NetBanking,Bank Declined,72.08,Medium,Send Notification,Notification Sent,1
TX03791,31936.36,NetBanking,Bank Declined,99.0,High,Generate Payment Link,Payment Link Created,0
TX05560,38613.09,NetBanking,Authentication Failed,33.39,Low,Defer Recovery,Deferred,1
TX07539,14603.45,Wallet,Timeout,8.95,Low,Defer Recovery,Deferred,1
TX05061,38156.36,NetBanking,Timeout,13.17,Low,Defer Recovery,Deferred,0
TX01825,40617.19,NetBanking,Authentication Failed,5.96,Low,Defer Recovery,Deferred,0
TX09467,23180.45,Card,Bank Declined,99.87,High,Retry Payment,Retry Initiated,1
TX08197,9409.24,NetBanking,Timeout,8.8,Low,Defer Recovery,Deferred,0
TX00697,41060.37,NetBanking,Authentication Failed,10.53,Low,Defer Recovery,Deferred,0
TX04438,31911.19,NetBanking,Authentication Failed,8.81,Low,Defer Recovery,Deferred,1
TX00833,34044.51,UPI,Technical Error,99.71,High,Generate Payment Link,Payment Link Created,1
TX06835,49669.3,NetBanking,Insufficient Funds,8.77,Low,Defer Recovery,Deferred,1
TX00231,808.41,Wallet,Insufficient Funds,98.47,High,Retry Payment,Retry Initiated,1
TX06177,27736.16,UPI,Technical Error,99.61,High,Generate Payment Link,Payment Link Created,1
TX03776,41606.09,NetBanking,Authentication Failed,92.92,High,Generate Payment Link,Payment Link Created,0
TX09279,25253.34,Card,Authentication Failed,30.79,Low,Defer Recovery,Deferred,0
TX07614,15372.35,UPI,Bank Declined,99.85,High,Retry Payment,Retry Initiated,1
TX08097,9569.2,NetBanking,Timeout,14.94,Low,Defer Recovery,Deferred,1
TX06949,46535.05,Wallet,Technical Error,28.32,Low,Defer Recovery,Deferred,1
TX06601,3890.42,Card,Insufficient Funds,96.72,High,Generate Payment Link,Payment Link Created,1
TX09625,44563.43,NetBanking,Technical Error,2.17,Low,Defer Recovery,Deferred,0
TX03969,16534.74,UPI,Authentication Failed,1.81,Low,Defer Recovery,Deferred,0
